epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1866.74,0.56471,0.70434,1.02641,0.9057,0.7897,0.84126,0.72832,0.60626,0.44774,1.01453,0.005743,0.005743,0.005743
45,1906.21,0.55852,0.68431,1.01381,0.94868,0.77482,0.84353,0.73156,0.60753,0.45094,1.01456,0.005644,0.005644,0.005644
46,1945.03,0.55534,0.67672,1.02171,0.93345,0.78857,0.84309,0.73299,0.60222,0.43298,1.01324,0.005545,0.005545,0.005545
47,1984.48,0.55761,0.67956,1.02115,0.94613,0.77605,0.84485,0.73147,0.59744,0.42613,1.01545,0.005446,0.005446,0.005446
48,2024,0.55467,0.66324,1.01679,0.95217,0.79435,0.85072,0.74022,0.60064,0.4296,1.01067,0.005347,0.005347,0.005347
49,2064.18,0.5492,0.66332,1.01669,0.94365,0.79183,0.85221,0.73886,0.60335,0.41721,1.00522,0.005248,0.005248,0.005248
50,2103.78,0.5601,0.68035,1.0331,0.91706,0.79108,0.84525,0.73642,0.60298,0.43451,1.0117,0.005149,0.005149,0.005149
51,2143.73,0.55383,0.67333,1.019,0.94133,0.79857,0.85817,0.74488,0.59817,0.41487,1.00287,0.00505,0.00505,0.00505
52,2183.76,0.54463,0.6768,1.01151,0.9477,0.798,0.85242,0.74427,0.5909,0.41329,1.00675,0.004951,0.004951,0.004951
53,2222.84,0.54318,0.65491,1.0158,0.91748,0.80051,0.85374,0.7415,0.59649,0.42201,1.01164,0.004852,0.004852,0.004852
54,2262.91,0.54495,0.65955,1.01213,0.96459,0.79917,0.85334,0.74394,0.58598,0.40838,0.99757,0.004753,0.004753,0.004753
55,2302.26,0.5417,0.6637,1.01591,0.94449,0.79809,0.84776,0.74158,0.59118,0.43064,1.00777,0.004654,0.004654,0.004654
56,2341.56,0.53249,0.64545,1.0085,0.9318,0.80411,0.85175,0.74804,0.57513,0.40518,0.99205,0.004555,0.004555,0.004555
57,2382.2,0.52296,0.62717,1.00216,0.95792,0.78992,0.84685,0.744,0.59151,0.40716,1.00282,0.004456,0.004456,0.004456
58,2421.41,0.53694,0.63802,1.01194,0.95887,0.79048,0.85019,0.74278,0.58294,0.39611,1.0025,0.004357,0.004357,0.004357
59,2460.43,0.53029,0.62328,1.01024,0.92282,0.80854,0.8553,0.7496,0.58224,0.40364,0.99574,0.004258,0.004258,0.004258
60,2500.87,0.52599,0.62764,1.00455,0.95732,0.79081,0.85537,0.75071,0.57828,0.39601,0.99989,0.004159,0.004159,0.004159
61,2540.1,0.52471,0.60932,1.00453,0.95838,0.7937,0.85732,0.75262,0.58295,0.40479,1.00342,0.00406,0.00406,0.00406
62,2579.71,0.52504,0.61435,1.00246,0.95103,0.79236,0.85233,0.74647,0.57273,0.40579,0.99756,0.003961,0.003961,0.003961
63,2618.24,0.51718,0.62273,1.00392,0.95461,0.80653,0.85972,0.75532,0.57474,0.38301,0.98838,0.003862,0.003862,0.003862
64,2657.68,0.52203,0.60818,1.00159,0.94729,0.79829,0.85496,0.74996,0.5656,0.38346,0.98436,0.003763,0.003763,0.003763
65,2696.16,0.51469,0.59947,0.99731,0.9415,0.79973,0.85533,0.75271,0.5715,0.38142,0.99133,0.003664,0.003664,0.003664
66,2734.71,0.5205,0.60796,0.99906,0.96782,0.79785,0.85686,0.75209,0.57363,0.39221,0.99414,0.003565,0.003565,0.003565
67,2773.3,0.51211,0.59133,0.98808,0.93082,0.79569,0.85636,0.75399,0.5679,0.3821,0.98614,0.003466,0.003466,0.003466
68,2811.96,0.51416,0.60685,1.00139,0.9509,0.80488,0.85721,0.75232,0.56828,0.39061,0.98262,0.003367,0.003367,0.003367
69,2850.5,0.52016,0.60554,0.9937,0.94296,0.80959,0.86068,0.75039,0.56419,0.38281,0.98808,0.003268,0.003268,0.003268
70,2889.2,0.51224,0.58276,0.99269,0.93526,0.80665,0.85453,0.75414,0.55497,nan,0.97945,0.003169,0.003169,0.003169
71,2927.54,0.5107,0.59683,0.99354,0.9424,0.81253,0.86246,0.75741,0.55893,0.37311,0.98191,0.00307,0.00307,0.00307
72,2966.88,0.50693,0.57975,0.99189,0.95501,0.81125,0.86303,0.76128,0.56352,0.36791,0.98418,0.002971,0.002971,0.002971
73,3006.3,0.4983,0.57886,0.99182,0.94601,0.81938,0.86533,0.75772,0.56652,0.36992,0.98616,0.002872,0.002872,0.002872
74,3044.85,0.49339,0.57065,0.99123,0.95329,0.80231,0.86135,0.75375,0.56811,0.38206,0.9854,0.002773,0.002773,0.002773
75,3083.49,0.49525,0.57726,0.99135,0.95605,0.80549,0.86404,0.76252,0.55455,0.37047,0.97928,0.002674,0.002674,0.002674
76,3123.2,0.49643,0.57637,0.99061,0.94681,0.80201,0.86123,0.76016,0.54851,0.36656,0.96927,0.002575,0.002575,0.002575
77,3161.97,0.49568,0.56397,0.9872,0.95229,0.80624,0.86087,0.76001,0.55508,0.36327,0.97927,0.002476,0.002476,0.002476
78,3200.49,0.49679,0.56126,0.98803,0.94492,0.81186,0.86461,0.76432,nan,nan,nan,0.002377,0.002377,0.002377
79,3239.94,0.49441,0.55886,0.98988,0.949,0.80952,0.86295,0.75906,0.56033,0.36495,0.97602,0.002278,0.002278,0.002278
